TABLE OffLrgCECStd16040012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
BaseVAVTrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys6,Basement Thermal Zone,27232.744,5752.946,13616.372,DualMaximum,,,,
BaseVAVTrmlUnit-2,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys6-2,Core_bottom Thermal Zone,22020.061,4404.012,11010.03,DualMaximum,,,,
BaseVAVTrmlUnit-3,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_1 Thermal Zone,4159.783,831.957,2079.892,DualMaximum,,,,
BaseVAVTrmlUnit-4,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_2 Thermal Zone,2596.304,519.261,1298.152,DualMaximum,,,,
BaseVAVTrmlUnit-5,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_3 Thermal Zone,2448.091,506.045,1224.046,DualMaximum,,,,
BaseVAVTrmlUnit-6,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_4 Thermal Zone,2812.052,562.41,1406.026,DualMaximum,,,,
BaseVAVTrmlUnit-7,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys6-3,Core_mid Thermal Zone,24282.582,4856.516,12141.291,DualMaximum,,,,
BaseVAVTrmlUnit-8,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_1 Thermal Zone,4285.063,857.013,2142.531,DualMaximum,,,,
BaseVAVTrmlUnit-9,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_2 Thermal Zone,2669.354,533.871,1334.677,DualMaximum,,,,
BaseVAVTrmlUnit-10,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_3 Thermal Zone,2608.763,521.753,1304.382,DualMaximum,,,,
BaseVAVTrmlUnit-11,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_4 Thermal Zone,2853.316,570.663,1426.658,DualMaximum,,,,
BaseVAVTrmlUnit-12,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys6-4,Core_hi Thermal Zone,24271.645,4854.329,12135.822,DualMaximum,,,,
BaseVAVTrmlUnit-13,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_1 Thermal Zone,4266.96,853.392,2133.48,DualMaximum,,,,
BaseVAVTrmlUnit-14,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_2 Thermal Zone,2660.329,532.066,1330.164,DualMaximum,,,,
BaseVAVTrmlUnit-15,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_3 Thermal Zone,2601.691,520.338,1300.845,DualMaximum,,,,
BaseVAVTrmlUnit-16,BaseVAVBox TrmlUnit-16,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_4 Thermal Zone,2844.315,568.863,1422.158,DualMaximum,,,,
BaseVAVTrmlUnit-17,BaseVAVBox TrmlUnit-17,VAVReheatBox,BaseAirSys6-5,Core_top Thermal Zone,23195.182,4639.037,11597.591,DualMaximum,,,,
BaseVAVTrmlUnit-18,BaseVAVBox TrmlUnit-18,VAVReheatBox,BaseAirSys6-5,Perimeter_top_ZN_1 Thermal Zone,4287.398,857.48,2143.699,DualMaximum,,,,
